resource_code,resource_name,resource_type,common_name,unit,price_median,price_min,price_max,price_mean,variant_count,currency,usage_count,tech_group,variable_parts_sample
MEVO-RI-KALI-KARI,Pipelines made of cast iron sewer pipes and fittings,abstract_material,,m,24.96,1.78,25.85,20.33,1,EUR,6,TOTO-KATO-KARIVO,"Loading onto a motor vehicle: roll roofing materials (in particular, linoleum, glassine, roofing felt, roofing material) weighing up to 80 kilograms per item • Unloading from a motor vehicle: roll roo"
RITO-LI-KAME-KARI,Pipelines with sleeves,abstract_material,,m,16.08,1.14,16.65,13.09,1,EUR,6,TOTO-KAPU-KAKAME,"Loading onto a motor vehicle: materials transported in bags and packages, with a weight of up to 51 kilograms per item • Unloading from a motor vehicle: materials transported in bags and packages, wit"
RITO-LI-KAME-KANE,Piping with flanges,abstract_material,,m,16.08,1.14,16.65,13.09,1,EUR,6,TOTO-KAPU-KARIME,"Loading onto a motor vehicle: materials transported in bags and packages, with a weight of up to 51 kilograms per item • Unloading from a motor vehicle: materials transported in bags and packages, wit"
MEVO-ME-KALI-KAME,Valves,abstract_material,,pcs,250.08,24.24,985.62,355.16,15,EUR,6,TOSA-KAPU-KAVOSA,"18ch2br pressure reducing valve, flanged connection to the pipeline, nominal pressure ME.PUSA MPa, nominal diameter 125 mm • 18ch2br pressure reducing valve, flanged connection to the pipeline, nomina"
MEVO-RI-KATO-KAME,Bathtubs,abstract_material,Bathtub,set,735.74,427.51,2034.72,943.1,10,EUR,6,TONE-KAME-KAMESA,"Acrylic hydromassage with six jets, rectangular, with supports, siphon, front screen, dimensions 1700x750x480 mm • Acrylic hydromassage with six jets, corner, with supports, siphon, front screen, dime"
MEVO-RI-KARI-KAVO,Washbasins,abstract_material,,set,231.94,123.49,297.96,220.44,1,EUR,6,TONE-KAME-KANEPU,"Enameled cast iron sink with two bowls without siphons, dimensions 800x600 mm • Semi-porcelain and porcelain washbasin for people with limited mobility, one hole for a mixer tap, dimensions 640x550x16"
MEVO-RI-KAME-KANE,Toilets,abstract_material,,set,212.8,104.52,505.01,230.48,15,EUR,6,TONE-KAME-KALIME,"Ceramic floor-mounted toilet complete with cistern, vertical outlet, vertical drain, dimensions 380x625x765 mm • Floor-mounted ceramic toilet bowl complete with cistern, horizontal outlet, double flus"
MEVO-SA-MEKA-KAPU,Aluminum and bimetallic sectional radiators,abstract_material,Aluminum sectional radiator with,pcs,215.25,22.29,366.42,209.9,78,EUR,6,TONE-KANE-KAPULI,"side connection, number of sections 1, center distance 200 mm, working pressure up to 3 MPa, maximum coolant temperature up to 135 °C, thermal power up to KA.KADXDX kW • side connection, number of sec"
MEVO-SA-KALI-KARI,Condensate drain assemblies,abstract_material,Condensate drain,set,71.64,7.17,286.5,143.03,1,EUR,6,TOSA-METO-KARIRI,"45nzh13nzh, nominal pressure PU.KA MPa, nominal diameter 10 mm • 45nzh13nzh, nominal pressure PU.KA MPa, nominal diameter 15 mm • 45nzh13nzh, nominal pressure PU.KA MPa, nominal diameter 20 mm • 45nzh"
MEVO-PU-KAME-KAPU,Cabinet installation,abstract_material,Metal cabinets for,pcs,9.91,2.98,11.4,8.52,1,EUR,6,TONE-METO-KAKASA,Cylinders • Pressure regulator
MEDX-ME-KANE-KAME,Extraction ventilation shaft passage assemblies,abstract_material,Passage assembly for exhaust ventilation shafts without,pcs,250.47,122.14,617.65,275.51,19,EUR,6,TONE-KALI-MERIPU,"valves and condensate collection rings UP 1-11, diameter 200 mm • valves and condensate collection rings UP 1-12, diameter 250 mm • valves and condensate collection rings UP 1-13, diameter 315 mm • va"
RIPU-TO-KAME-KAPU,"Non-pressure PVC pipes, socketed",abstract_material,NPVH pipe,m,193.86,0.55,1324.71,579.61,1,EUR,6,TOTO-KALI-MELIPU,"For outdoor drainage systems with a socket and rubber sealing ring, ring stiffness SN4, nominal diameter 110 mm, thickness RI.RI mm, length 500 mm • for outdoor drainage systems, ring stiffness SN4, n"
MEME-TO-KAPU-KASA,Fast-flowing composite polymer materials,abstract_material,,pcs,29.92,9.94,723.9,161.86,19,EUR,6,TONE-KAPU-KAKAME,"Left-hand drainage inlet made of composite polymer materials for motorways, hydraulic section width DN300, dimensions 950x1220 mm • Right-hand drainage inlet made of composite polymer materials for mo"
KAPU-RI-KATO-KAME,"Asphalt concrete mixtures, crushed stone and mastic",abstract_material,Asphalt concrete crushed stone-mastic mixtures,t,267.78,208.06,282.68,258.77,14,EUR,6,SAPU-MESA-KARIKA,SMA-11 • SMA-16 • SMA-22 • SMA-8 • SMA-10 • SMA-10 on PBV • SMA-11 • SMA-15 • SMA-15 on PBV • SMA-16 • SMA-20 • SMA-20 on PBV • SMA-22 • SMA-8
KARI-TO-KAME-KASA,Sand from crushing screenings,abstract_material,Sand,m3,41.35,33.28,64.84,46.6,120,EUR,6,KAME-KARI-KAKAME,"Crushed stone for road construction, Class I, M 1000, coarse • Crushed stone for road construction, Class I, M 1000, fine • Crushed stone for road construction, Class I, M 1000, very coarse • Crushed "
KAME-SA-KATO-KARI,Marker for delineator,abstract_material,,pcs,47.8,9.32,97.26,46.7,7,EUR,6,NESA-METO-KAKAME,"Delineator marker, dimensions 20x120x300 mm • Delineator marker, dimensions 20x135x300 mm • Delineator (road separator), length 500-1000 mm, width 200-250 mm, height 90-100 mm • Delineator, dimensions"
RISA-ME-KANE-RIKA,Gaskets for rail bases for reinforced concrete sleepers,abstract_material,"Rubber gaskets for reinforced concrete sub-rail base, type CP-204",pcs,3853.28,0,3853.28,3211.07,1,EUR,6,NEKA-MELI-KAKAME,
KAME-SA-KATO-KAVO,Metal traffic light bridge structures,abstract_material,"Reflective road film, type A, B",t,8.8,0,9.74,7.14,2,EUR,6,NESA-KAPU-KAKATO,KD3 • KD4
KAME-VO-KAME-KALI,Liquid glass,abstract_material,Liquid potassium glass,t,2004.8,2004.8,2004.8,2004.8,1,EUR,6,SARI-KAVO-KAMEKA,
KATO-RI-KAME-KASA,Cement,abstract_material,Slag Portland cement for general construction CEM III,t,225.69,208.81,242.57,225.69,2,EUR,6,MELI-KASA-KAMESA,32.5N • 42.5N
KARI-PU-KARI-KARI,Fly ash,abstract_material,,t,49.24,18.05,80.42,49.24,2,EUR,6,MELI-KAPU-KAMERI,"Fly ash from thermal power plants for the production of heavy, light, cellular concrete, building mortars, and dry building mixtures • Granulated slag"
MEPU-RI-KAPU-KAPU,Polymethyl methacrylate-based resin,abstract_material,,kg,7.35,1.1,47.84,14.51,9,EUR,6,RILI-KAPU-KAKAME,"Lapromol • Polyisocyanate • Single-component hydroactive polyurethane injection resin for sealing cracks and filling voids, complete with catalyst • Urea-formaldehyde resin • Polymethyl methacrylate ("
MEVO-RI-KAPU-MEKA,Wells made of polymer composite materials,abstract_material,Well,set,5067.49,3142.94,7425.98,5102.61,18,EUR,6,TONE-KAPU-KARIDX,"sampling (control) from polymer composite materials, complete with service port cover, body diameter 1000 mm, height 3000 mm • sampling (control) made of polymer composite materials, complete with a s"
RIPU-TO-KASA-RIME,Polyethylene flange for cable sheath,abstract_material,,pcs,21.76,1.55,22.53,17.72,1,EUR,6,MEDX-KARI-KAKASA,"Loading onto motor vehicles: materials transported in bags and packages, with a weight of 52 to 80 kilograms per unit • Unloading from motor vehicles: materials transported in bags and packages, with "
KALI-PU-KATO-MEME,Narrow-base power line poles,abstract_material,Narrow-base power line supports,t,10180.56,10180.56,10180.56,10180.56,9,EUR,6,MESA-MEPU-KATONE,"galvanized, 110 kV, intermediate, double-circuit, with cable supports • galvanized, 110 kV, intermediate, single-circuit, without cable supports • galvanized, 110 kV, intermediate, single-circuit, wit"
RIRI-RI-KARI-RIKA,Steel fitting clamps,abstract_material,Clamps,kg,3.55,3.45,10.63,4.95,5,EUR,6,MEPU-KARI-KAPUVO,"Galvanized metal double-eared, rectangular cross-section, dimensions 60x40 mm • Steel fitting with clamping plate dimensions 170x60x12 mm, two M16 nuts, clamp width 50 mm, clamp length 1180 mm • steel"
KASA-ME-KAPU-KAVO,Reinforced concrete slabs,abstract_material,,m2,20.86,5.31,46.17,26.52,1,EUR,6,MEVO-KAPU-KASASA,Transportation of Class I cargo by concrete mixer trucks with a drum capacity of up to 6 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by concrete mixer tr
MEPU-RI-KAME-KATO,Epoxy-coal tar primer compositions,abstract_material,,t,6233.71,5794.62,6984.11,6337.48,3,EUR,6,RINE-KAME-KAKAME,"Modified two-component epoxy-coal tar composition (base and hardener) with an adhesion-inhibiting effect for the protection of metal and concrete structures • Coal tar varnish, brand ""Morskoy"", A, B •"
MEPU-SA-KAPU-KALI,Thiokol mastic,abstract_material,,kg,10.41,7.24,18.44,11.63,4,EUR,6,RILI-KATO-KASASA,"Two-component thiokol mastic with increased resistance in hydrocarbon environments (gasoline, diesel, oils, petroleum) and high adhesion for sealing and protecting concrete, reinforced concrete, and m"
KAME-LI-KANE-KASA,"Highly elastic, chemical-resistant insulation tape",abstract_material,Insulation tapes,m,110.04,0.1,252.07,110.68,8,EUR,6,RILI-KAME-KAKADX,"Highly elastic, chemically resistant, rot-proof 1x200 mm • Highly elastic, chemically resistant, rot-proof 1x300 mm • Highly elastic, chemically resistant, rot-proof 1x500 mm • Highly elastic, chemica"
MENE-RI-KATO-KARI,Covering material,abstract_material,Standard rolled turf,t,9.86,0,114.73,32.71,3,EUR,6,PULI-KATO-KAKANE,"Binding additive for seed adhesion to soil • Binding additive for mulch retention on the surface • Mulching component, decorative colorless wood chips • Mulching component, decorative colored wood chi"
MEVO-RI-KANE-MERI,Rubber cuffs,abstract_material,,set,280.81,14.99,480.52,258.77,3,EUR,6,RINE-KAME-KAPUSA,"Brass outlet with electroplated coating for sink with plug, diameter 60 mm • Frame-type installation system for wall-mounted urinals, drain diameter 5 mm, width 400 mm, thickness 220 mm, height 1120 m"
RIPU-RI-KARI-KARI,Multilayer metal-polymer pipes,abstract_material,"Multi-layer metal-polymer pipes for cold water supply, temperature up to 30 °C, nominal pressure ME.",m,5.97,1.89,65.08,21.78,7,EUR,6,TOTO-MEKA-KAMEPU,16 mm • 20 mm • 26 mm • 32 mm • 40 mm • 50 mm • 63 mm
MEVO-SA-KAVO-MESA,Rubber balls (locking),abstract_material,,pcs,24.96,1.78,25.85,20.33,1,EUR,6,TONE-MEPU-KATODX,"Loading onto a motor vehicle: roll roofing materials (in particular, linoleum, glassine, roofing felt, roofing material) weighing up to 80 kilograms per item • Unloading from a motor vehicle: roll roo"
KAME-TO-KATO-KANE,Acid,abstract_material,High-purity hydrochloric acid,t,6054.94,6054.94,6054.94,6054.94,1,EUR,5,SARI-KANE-KAKARI,
KAME-LI-KALI-RILI,Joint waterproofing materials,abstract_material,Key,t,20.52,15.19,35.71,22.47,1,EUR,5,RILI-KAME-KATOME,"waterproofing made of plasticized PVC, internal, for concrete working joints, width 240 mm • waterproofing made of plasticized PVC, internal, for concrete working joints, width 240 mm, deformation nod"
MELI-PU-KAME-KAME,Heat-resistant concrete,abstract_material,Heavy heat-resistant concrete mixes,m3,1199.18,1199.18,1199.18,1199.18,1,EUR,5,MELI-KAME-KAKAME,
MEPU-ME-KANE-KANE,Chemical anchor,abstract_material,Adhesive composition,pcs,128.4,14.51,250.0,122.51,19,EUR,5,SAME-KALI-KAKALI,"two-component methacrylate-based injection for anchor fastenings in concrete and brick, operating temperature from +5 °C to +40 °C, volume 330 ml • two-component methacrylate-based injection for ancho"
KAME-ME-KAME-KAME,Shaped parts for chrysotile cement wall sheets,abstract_material,Shaped ridge details for corrugated chrysotile cement sheets,m2,1199.4,0,1199.4,999.5,1,EUR,5,MESA-KALI-KAKAME,
KANE-RI-KATO-KARI,Ceramic slabs,abstract_material,Ceramic tile,m2,69.22,46.21,83.11,65.47,9,EUR,5,RIVO-MEME-KATOSA,"facade, glazed, smooth, multicolored, thickness 7 mm • facade, glazed, smooth, multicolored, thickness 9 mm • facade, glazed, smooth, colored, thickness 7 mm • facade, glazed, smooth, colored, thickne"
KAVO-ME-KANE-KAME,Steel structures,abstract_material,Gates,t,1656.37,4.5,9879.75,2857.12,2,EUR,5,MESA-KAME-KALIME,"Insulated metal swing gate, gate leaf made of three-layer metal panel 80 mm thick with a wicket door measuring 900x2100 mm, gate dimensions 3000x3000 mm • Insulated metal swing-fold gates, gate leaf m"
MEME-TO-KAME-KARI,Entrance door blocks,abstract_material,"Entrance door block made of PVC profiles, with a simple box, single-leaf, with",m2,332.11,252.48,401.54,327.25,33,EUR,5,RITO-KAME-KAKASA,"beak fittings, without sandwich-type double glazing, area up to ME.SA m2 • beak fittings, without sandwich-type double glazing, area from ME.SAME to 2 m2 • beak fittings, with double-chamber double gl"
KAME-SA-KARI-KARI,Metal mesh panel for barrier fences,abstract_material,"End section post for composite railing, with handrail end, length 195 mm, height 1100 mm, thickness ",pcs,154.01,154.01,154.01,154.01,1,EUR,5,MESA-KAME-MEPUNE,
MEME-RI-KARI-KALI,Door leafs,abstract_material,"Solid wooden door leaves, height 2000 mm, area ME.RI m2 (PG 20-6, DG21-7, DG-21-13), area ME.PU m2 (",m2,33.52,33.52,33.52,33.52,1,EUR,5,RITO-KAME-KATOME,
MEME-RI-KAPU-KAME,"Wooden cooling tower parts, antiseptic-treated, made of boards",abstract_material,"Edged softwood timber (spruce, pine), natural moisture content, antiseptic treated, length 2-6 m, wi",m3,539.81,539.81,539.81,539.81,1,EUR,5,MENE-KASA-KAKARI,
KARI-RI-KARI-KARI,"Stone chips, grade 300",abstract_material,Stone chippings M 300,m3,75.88,75.88,75.88,75.88,1,EUR,5,KAPU-KAME-KAKAME,
MEME-RI-KAPU-KASA,Wooden slats,abstract_material,"Planed dry softwood slats (spruce, pine), length 2-3 m, dimensions 8x18 mm",m3,1493.17,1493.17,1493.17,1493.17,1,EUR,5,MENE-KARI-KANEVO,
MERI-ME-KATO-KAPU,Ridge tiles,abstract_material,"Cement-sand ridge tiles, without clips, dimensions 450x250 mm",1000 pcs,9.18,0,9.18,7.65,1,EUR,5,RILI-KALI-KAMEME,
KAME-VO-KAME-KAVO,Foam glass aggregate,abstract_material,"Foam glass aggregate, bulk density",m3,103.92,72.89,139.63,104.1,5,EUR,5,MEME-KAPU-KAKAME,"100-115 kg/m3, fraction 30-60 mm • 120-130 kg/m3, fraction 5-20 mm • 135-140 kg/m3, fraction 30-60 mm • 170-180 kg/m3, fraction 5-20 mm • 240 kg/m3, fraction 20-40 mm"
MERI-ME-KATO-KALI,Solid cement-sand tiles,abstract_material,,pcs,12.17,2.62,125.06,30.04,11,EUR,5,RILI-KALI-KAKALI,"PVC ridge air element for cement-sand tiles, ventilation cross-section 380 cm2/m • Lightweight aluminum side tile, width 230 mm, length 420 mm • Cement-sand side tile (right, left), length 420 mm, wid"
KAME-LI-MELI-KAVO,Abrasive materials,abstract_material,Copper slag,t,182.69,182.69,182.69,182.69,1,EUR,5,SATO-KARI-MESALI,
KASA-TO-KAME-MENE,Molded pieces,abstract_material,"Gypsum drywall, height",pcs,75.01,24.72,187.52,95.75,3,EUR,5,RIVO-MEPU-RIDXSA,up to 150 mm • from 151 to 250 mm • from 251 to 400 mm
KASA-TO-KAME-KASA,Molded pieces,abstract_material,"Plaster coat of arms, height up to",pcs,131.19,93.71,187.42,135.88,4,EUR,5,RIVO-MEPU-KANEDX,1000 mm • 1500 mm • 500 mm • 750 mm
KASA-TO-KARI-MEPU,Molded pieces,abstract_material,,pcs,20.86,5.31,46.17,26.52,1,EUR,5,RIVO-MEPU-RILIVO,Transportation of Class I cargo by concrete mixer trucks with a drum capacity of up to 6 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by concrete mixer tr
KASA-TO-KARI-KASA,Molded pieces,abstract_material,,pcs,20.86,5.31,46.17,26.52,1,EUR,5,RIVO-MEPU-KALIDX,Transportation of Class I cargo by concrete mixer trucks with a drum capacity of up to 6 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by concrete mixer tr
MEVO-SA-KAVO-MERI,Water heater sections with a ring,abstract_material,Single-section water heater section No.,pcs,2854.98,1329.31,5931.96,3284.64,5,EUR,5,TONE-KANE-KALIME,"09 with a heating surface of one section of TO.PU m2, with a kalach • 10 with a heating surface of one section of NE.DX m2, with a kalach • 12 with a heating surface of one section of 12 m2, with a ka"
MEVO-SA-KAPU-KAME,"Steam and water distribution manifolds made of steel pipes with mating flanges, bolts, gaskets, brackets",abstract_material,,set,24.96,1.78,25.85,20.33,1,EUR,5,TONE-KANE-KAKAME,"Loading onto a motor vehicle: roll roofing materials (in particular, linoleum, glassine, roofing felt, roofing material) weighing up to 80 kilograms per item • Unloading from a motor vehicle: roll roo"
MEVO-PU-KAME-KAME,Cylinders for liquefied gases,abstract_material,Cylinder,pcs,112.6,87.57,350.5,154.98,5,EUR,5,TONE-MEPU-KAKAME,"for liquefied gases, working pressure up to ME.NE MPa, volume 50 l • steel for gases, working pressure up to MEDX.NE MPa, volume 10 l • steel for gases, working pressure up to MEDX.NE MPa, volume 40 l"
MEDX-TO-KAME-MERI,Diverter valves,abstract_material,"Valve for regulating air flows in ventilation systems, spark-proof design, hot-rolled steel, swing t",pcs,418.13,222.92,901.37,468.92,5,EUR,5,TONE-KAVO-MERIKA,1000x1000 mm • 250x250 mm • 400x400 mm • 500x500 mm • 800x800 mm
KAME-LI-MELI-MEKA,Disc cutters for a machine for non-fire cutting of pipes,abstract_material,,pcs,1168.95,36.84,41114.37,6590.63,33,EUR,5,SATO-KARI-RIVONE,"Milling drum, body diameter 240 mm, body width 360 mm • Type F burr cutter, cutting part diameter 16 mm, cutting part length 25 mm, tooth type M, shank diameter 6 mm, shank length 40 mm • Disc cutter "
MERI-RI-KAME-KAME,Aluminum alloy sheets,abstract_material,Clips (clamps),m2,9.1,0,9.1,7.58,1,EUR,5,RISA-KAPU-KAMEKA,
MEPU-RI-KARI-MEKA,Fire-resistant ablation coating,abstract_material,Coating,kg,94.68,50.38,110.16,85.08,3,EUR,5,RINE-KATO-KAMELI,"ablative fireproofing resistant to oil and gasoline for coating cables, acrylic chemical base, white color, density ME.TOSA g/cm3, for increasing the fire resistance limit to 180 minutes, operating te"
KASA-RI-KATO-KATO,Concrete curbstones,abstract_material,Concrete curbstones,m3,322.45,319.63,414.07,352.05,3,EUR,5,PUDX-KARI-KAKAME,"BK, B30 (M400) concrete • BR, BV grades, B22.5 (M300) concrete • BR, BV grades, B30 (M400) concrete"
METO-RI-KATO-KARI,Rock curbs made of rock,abstract_material,Curbstones made of,m,93.69,33.62,250.78,119.2,8,EUR,5,PUDX-KARI-KAKATO,"granite, curved, sawn, radius of curvature 5000 mm, Mansurovskoye deposit, grade GK-5000, height 300 mm, width 150 mm • granite, curved, sawn, radius of curvature 8000 mm, Mansurovskoye deposit, grade"
KAME-LI-KALI-MEPU,Compensators made of physically cross-linked polyethylene foam,abstract_material,"Compensators made of physically cross-linked polyethylene foam, self-adhesive, for curbstones, thick",100 pcs,369.48,369.48,369.48,369.48,1,EUR,5,TOSA-MENE-MEKATO,
KASA-ME-KALI-MESA,Parapet-type barriers,abstract_material,Fences,m3,901.02,393.61,1266.71,957.47,22,EUR,5,NESA-KAME-KARIPU,"Reinforced concrete parapet type for motorways, stationary, double-sided, for initial, end, transitional sections in terms of height and cross-section, holding capacity 400 kJ, concrete B35, working h"
RISA-RI-KAME-METO,Headrests for rigid crossbars,abstract_material,"Steel fastening cap on reinforced concrete supports, type",pcs,21.56,7.7,50.84,25.57,6,EUR,5,NEME-MEKA-KAKAME,OG-1 • OG-2 • OG-3 • OG-5 • OG-6 • OG-7
RINE-ME-KAME-KANE,Waterproofing umbrella elements,abstract_material,"Fiberglass waterproofing elements, profile thickness 4 mm",m2,378.23,378.23,378.23,378.23,1,EUR,5,NETO-MEKA-KAKAME,
KATO-RI-KARI-MEKA,Plugging cements,abstract_material,"Portland cement, tamped, without additives",t,308.93,308.93,308.93,308.93,1,EUR,5,MELI-KASA-KAMEDX,
RITO-SA-KAME-MEKA,Steel pipes,abstract_material,"Steel pipes, electric welded, straight seam and spiral seam, strength class K60, outer diameter",m,950.31,532.28,2494.24,1155.53,14,EUR,5,TOTO-KAPU-TOTOSA,"1020 mm, wall thickness 10 mm • 1020 mm, wall thickness MEKA.SA mm • 1020 mm, wall thickness 11 mm • 1020 mm, wall thickness 12 mm • 1020 mm, wall thickness 9 mm • 1220 mm, wall thickness MEKA.SA mm •"
KAVO-PU-KARI-KANE,Cold-drawn wire mesh,abstract_material,"Welded mesh made of cold-drawn wire, diameter 4-5 mm",t,1579.26,1579.26,1579.26,1579.26,1,EUR,5,MEPU-KAME-KASATO,
MEVO-RI-KAPU-KAVO,Polyethylene manhole for cable ducting,abstract_material,Well,set,442.44,133.54,4703.04,1468.82,7,EUR,5,PUNE-KAME-KAKAPU,"Solid polymer for cable ducts, single chamber, with cover, rubber sealing ring, reinforcing element housing, dimensions 880x745x418 mm • Solid polymer for cable ducts, single-chamber, with removable s"
RITO-TO-KAME-KADX,"Group D steel casing pipes, pipe connection type - nipple, outer diameter 127 mm",abstract_material,Pipes,m,144.0,42.42,350.36,171.24,12,EUR,5,TOTO-KAPU-KALIME,"Seamless casing made of Group D steel with high-seal connections and couplings, diameter 114 mm, wall thickness VO.NE mm • Seamless casing made of Group D steel with high-seal connections and coupling"
KALI-RI-KAME-KAME,Crane rails,abstract_material,,t,4435.49,4382.71,4488.27,4435.49,2,EUR,5,METO-KASA-KAKAME,Butt plates for KR70 crane rail • KR70 crane rails
KAME-LI-MELI-KAPU,Diamond ropes,abstract_material,"Steel diamond rope for rope machine, diameter MEKA.SA mm",m,113.74,113.74,113.74,113.74,1,EUR,4,SATO-KARI-MEKANE,
MEME-ME-KAME-KARI,Tongue-and-groove beams,abstract_material,,m3,3.37,0.29,3.52,2.76,1,EUR,4,MENE-KARI-KAKAVO,Loading onto motor vehicles: slag concrete blocks (using conveyors) • Unloading from motor vehicles: slag concrete blocks (using conveyors)
RITO-TO-MEME-KAME,Thermometric wells with protective casing,abstract_material,"Thermometric steel well with protective casing, casing wall thickness not less than 4 mm, casing dia",pcs,886.9,725.95,1091.41,893.53,35,EUR,4,MESA-METO-KAKARI,"ME.PU m, borehole wall thickness not less than TO.SA mm, diameter 57 mm, length 10 m • ME.PU m, borehole wall thickness not less than TO.SA mm, diameter 57 mm, length 11 m • ME.PU m, borehole wall thi"
KAVO-PU-KARI-KAME,Reinforcing mesh,abstract_material,,t,59.5,10.76,190.2,98.36,1,EUR,4,METO-KANE-KATOTO,Transportation of Class I cargo by trucks with a load capacity of up to 22 tons on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by trucks with a load capacity o
KAME-TO-KAME-KASA,Paraffins,abstract_material,Solid petroleum paraffin T-1,t,4330.3,4330.3,4330.3,4330.3,1,EUR,4,SARI-KATO-KAKARI,
KASA-ME-KANE-KASA,Flat floor slabs,abstract_material,"Reinforced concrete slabs for covering and covering trays and channels, volume up to",pcs,405.26,18.07,414.29,327.82,1,EUR,4,MEVO-KARI-KANEPU,"ME.ME m3, B15 concrete, reinforcement consumption from 50 to 100 kg/m3 • ME.TO m3, B15 concrete, reinforcement consumption up to 50 kg/m3"
KASA-ME-KAPU-MEME,Standard reinforced concrete exterior wall panels,abstract_material,"Reinforced concrete basement panels, exterior basement and subfloor panels, multi-layer, 30 cm thick",pcs,135.67,5.26,138.56,109.72,1,EUR,4,MEVO-KARI-KARILI,"without openings, B15 concrete with a density of 1900 kg/m3 and above, lightweight B5 shungite concrete, PSB-S-40 insulation, length over TO.DX m • without openings, B15 concrete with a density of 190"
KASA-ME-KALI-MELI,Balcony slabs,abstract_material,"Reinforced concrete balcony slabs, volume up to",pcs,484.04,34.97,501.53,394.23,1,EUR,4,RIKA-KANE-KAKATO,"KA.NE m3, concrete B15, reinforcement consumption from 50 to 100 kg/m3 • KA.DX m3, concrete B15, reinforcement consumption from 100 to 150 kg/m3"
KASA-ME-KALI-RIPU,Window sill slabs,abstract_material,Window sill slabs,pcs,39.31,0,651.26,309.37,2,EUR,4,RIKA-KASA-KAKAME,"smooth reinforced concrete • reinforced concrete with mosaic coating • cement-based with a smooth surface for painting (quality category A2) 1600 mm long and over, 45 mm thick, B15 concrete, reinforce"
KASA-ME-KALI-TOKA,Elevator shafts,abstract_material,Elevator shafts,pcs,984.32,40.36,1000.51,795.53,1,EUR,4,RIRI-KAME-KAKAME,"reinforced concrete for freight, volume up to RI.ME m3, concrete B15, reinforcement consumption from 100 to 150 kg/m3 • Passenger reinforced concrete, volume up to 1 m3, concrete B15, reinforcement co"
MEPU-RI-KASA-KANE,Polymer-cement composition,abstract_material,Polymer-cement composition,m3,315.44,315.44,315.44,315.44,1,EUR,4,RINE-KATO-KASARI,
KAME-LI-KANE-KAME,Sealing tapes for waterproofing and vapor barrier,abstract_material,Tapes,m,0.47,0.15,1.6,0.82,9,EUR,4,RILI-KAME-KAKARI,"Sealing waterproofing, vapor barrier butyl rubber, laminated with non-woven material on one side, with an adhesive layer on one side and an anti-adhesive coating on the other, beige in color, 100 mm w"
RIPU-TO-KAME-KANE,Drainage pipes,abstract_material,"PVC pipes, nominal diameter",m,1.35,0.5,4.5,1.76,7,EUR,4,TOTO-KAME-KAKAME,16 mm • 20 mm • 25 mm • 32 mm • 40 mm • 50 mm • 63 mm
KALI-RI-KATO-KAME,Horizontal connections made from reinforcing bars,abstract_material,"Beam B1-A, project TO.PUKALI-MEMESA",t,6743.68,0,6743.68,5619.73,1,EUR,4,METO-KANE-KAVODX,
KAVO-ME-KASA-KANE,"Head for cleaning, washing, disinfection, and fire extinguishing system",abstract_material,"Steel head for cleaning, washing, disinfecting, and fire extinguishing systems for garbage chutes, h",pcs,756.67,756.67,756.67,756.67,1,EUR,4,TONE-MENE-KAKANE,
KALI-RI-KAPU-KAPU,Portable metal plates for fireplaces,abstract_material,"Prefabricated metal plate for stoves with two burner holes, dimensions 710x410 mm",pcs,131.3,131.3,131.3,131.3,1,EUR,4,TORI-KAME-KATOLI,
KANE-RI-KASA-KAME,Standard tiles,abstract_material,Glazed stove tiles,m2,774.57,516.55,1308.26,866.46,3,EUR,4,RIVO-MEME-KAKARI,"plain smooth, single-color, dimensions 150x150x18 mm • plain with molded relief, multi-color, dimensions 150x150x18 mm • corner smooth, single-color, dimensions 80x150x18 mm"
RITO-RI-KAME-KARI,Aluminum spacers,abstract_material,"Aluminum profile pipes, cross-section",m,11.27,8.11,14.43,11.27,2,EUR,4,MESA-MEKA-KATODX,"50x50 mm, wall thickness 2 mm • 80x40 mm, wall thickness 3 mm"
KADX-RI-KAME-KASA,"Double-layer facade modules, aluminum alloy frame, 70 mm thick mineral wool insulation based on basalt fiber",abstract_material,"Double-layer facade module, exterior finish",set,1324.91,321.09,4534.35,1443.0,490,EUR,4,RIVO-RIPU-KASAKA,"steel cassettes, aluminum alloy frame, mineral wool insulation based on basalt fiber with a thickness of 70 mm, dimensions 1200x1500 mm • steel cassettes, aluminum alloy frame, 70 mm thick basalt fibe"
RITO-ME-KATO-KAPU,Movable clamp supports,abstract_material,Movable support,pcs,56.07,7.34,1299.98,189.67,83,EUR,4,TOTO-MERI-MEMERI,"(sliding) dielectric, for steel pipelines, support height 100 mm, nominal diameter 1020 mm • (sliding) dielectric, for steel pipelines, support height 100 mm, nominal diameter 1200 mm • (sliding) diel"
MEME-TO-KARI-KAPU,Partition made of PVC profiles,abstract_material,Window block made of PVC profiles,m2,175.72,101.03,328.45,182.51,77,EUR,4,RIPU-KAME-KAMEDX,"three-leaf, fixed, with double-glazed windows 32 mm thick, area over 3 m2 • three-leaf, fixed, with double-glazed windows 32 mm thick, area up to 1 m2 • three-leaf, fixed, with double-glazed windows 3"
