resource_code,resource_name,resource_type,category,unit,unit_rate_avg,unit_rate_min,unit_rate_max,avg_cost_per_use,avg_quantity_per_use,currency,usage_count,price_variants,used_in_items_count,regions,parent_work_category,parent_collection,parent_department
RITO-SA-KARI-KARI_KAKASALI,"Straight seam electric welded steel pipes made of St2 and 10 steel grades, outer diameter 108 mm, wall thickness 5 mm",material,Steel & Metal,m,15.35,15.35,15.35,50.94,3.3195,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,"External engineering networks;Main and industrial pipelines;Pile driving, sinking wells, soil stabilization",CONSTRUCTION OF UNDERPASSES;PIPELINE LAYING IN SPECIAL CONDITIONS
KAPU-ME-KAME-KAME,Lightweight concrete mixes with porous aggregates,material,Concrete & Cement,m3,135.92,135.92,135.92,4888.42,35.9662,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Floors;Precast concrete and reinforced concrete structures;Roofs,"RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES;ROOFS"
KAPU-TO-KAME-KADX_KAKAMETO,"Ready-mixed masonry mortar, cement, M75",material,Concrete & Cement,m3,126.66,126.66,126.66,31.59,0.249,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Precast concrete and reinforced concrete structures;Roofs,"INDUSTRIAL BUILDINGS AND STRUCTURES;RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES"
KASA-RI-KARI-RITO,Precast reinforced concrete structures,material,Concrete & Cement,pcs,2320.86,2320.86,2320.86,510037.64,219.7619,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,"Communication, radio broadcasting, and television facilities;Concrete and reinforced concrete structures of hydraulic engineering structures;Precast concrete and reinforced concrete structures","RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES;WIRED COMMUNICATIONS FACILITIES"
KAVO-ME-KARI-RISA,Steel flag holders,material,Steel & Metal,pcs,1906.5,3.24,2501.27,363.79,1.7624,EUR,21,2,21,ENG_TORONTO,CONSTRUCTION WORK,Airports;Finishing works;Underwater construction (diving) works,FACING WORKS;MISCELLANEOUS WORKS
RITO-ME-KATO-KAME,"Fixed supports, insulated with polyurethane foam, in a polyethylene shell",material,Other,pcs,1221.28,1221.28,1221.28,10642.6,8.7143,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Heat supply and gas pipelines - outdoor networks;Metal building structures,HEAT SUPPLY - OUTDOOR NETWORKS;STRUCTURES FOR THE CONSTRUCTION OF MAIN AND INDUSTRIAL PIPELINES
MEPU-SA-KASA-KAME_KAKAKAME,"Linseed oil for high-quality painting (25% natural, 75% combined)",material,Paint & Coatings,t,2732.97,2732.97,2732.97,27.98,0.0116,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Finishing works;Painting work,PAINTING;PAINTING OF INTERIOR ROOMS
MEVO-RI-KALI-KAME,Pipelines with sleeves,material,Pipes & Fittings,m,24.96,24.96,24.96,2496.45,100.0,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Internal piping;Internal sanitary and technical work,STEEL PIPE PIPING;WATER SUPPLY AND SEWERAGE
KAME-LI-MESA-KALI_KAKAKAME,Dowels,material,Other,t,33733.3,5486.74,203212.69,116.93,0.0081,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Airports;Nuclear power plant equipment;Water supply and sewerage - internal installations,NUCLEAR STEAM GENERATING UNITS;PARTITIONS
KAME-LI-MELI-KADX_MEKADXKA,"Spiral drill bit with cylindrical shank, equipped with tungsten carbide hard alloy plates, diameter 8 mm, length 120 mm",material,Other,pcs,4.09,1.51,55.79,1.26,0.8315,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Electrical installations;Heating - internal devices;Оборудование связи,HEATING DEVICES;СИСТЕМЫ ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ ОБЪЕКТОВ
MEVO-RI-KAPU-KADX,Components for wells and drainage and sewerage systems (well bottom slab),material,Other,pcs,1796.63,1796.63,1796.63,1796.63,1.0,EUR,21,1,9,ENG_TORONTO,CONSTRUCTION WORK,Sewerage - outdoor networks,SEWER MANHOLES
DXME-MEKA-KADX_KAKARI,"Electric pump pressure testing units, flow rate up to PU.RI l/min, pressure up to 15 MPa",equipment,Pumps,Machine hours,1.16,1.16,1.16,4.37,3.7762,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,External engineering networks;Heat supply and gas pipelines - outdoor networks,HEAT SUPPLY - OUTDOOR NETWORKS;RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS
DXME-MEKA-KADX_KAKARI,Electricity: consumption KA.LITO kWh/machine-hour,electricity,Electricity,Machine hours,0.1,0.1,0.1,0.37,3.7762,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,External engineering networks;Heat supply and gas pipelines - outdoor networks,HEAT SUPPLY - OUTDOOR NETWORKS;RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS
DXME-MELI-KAPU_KASASA,Devices with automatic control of the butt welding process for plastic pipes with a diameter of over 315 to 630 mm,equipment,Welding Equipment,Machine hours,7.52,7.52,7.52,27.25,3.6233,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Heat supply and gas pipelines - outdoor networks,GAS PIPELINES IN CITIES AND SETTLEMENTS;MISCELLANEOUS WORKS
DXME-MELI-KAPU_KASASA,Electricity: consumption RI.PURI kW·h/machine-hour,electricity,Electricity,Machine hours,0.32,0.32,0.32,1.17,3.6233,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Heat supply and gas pipelines - outdoor networks,GAS PIPELINES IN CITIES AND SETTLEMENTS;MISCELLANEOUS WORKS
MEVO-SA-KALI-KAPU,Condensate drain pipe,material,Pipes & Fittings,set,40.53,40.53,40.53,40.53,1.0,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Heat supply and gas pipelines - outdoor networks,GAS PIPELINES IN CITIES AND SETTLEMENTS
KAME-LI-MELI-KADX_MERIMEDX,"Steel guide drill bit, steel grade P6M5F3, diameter 9 mm, length 81 mm",material,Steel & Metal,pcs,375.95,375.95,375.95,94.53,0.2514,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Heat supply and gas pipelines - outdoor networks,GAS PIPELINES IN CITIES AND SETTLEMENTS
KASA-ME-KARI-KASA,Reinforced concrete supports,material,Concrete & Cement,m3,851.07,851.07,851.07,73070.28,85.8571,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Heat supply and gas pipelines - outdoor networks;Railways,PRECAST REINFORCED CONCRETE OVERPASSES AND PEDESTRIAN BRIDGES;REINFORCED CONCRETE AND CONCRETE STRUCTURES OF BRIDGES AND PIPES
KAME-LI-MEME-KALI_KAKAVORI,"Welding electrodes for welding high-alloy steels OZL-8, diameter 2 mm",material,Steel & Metal,kg,21.68,21.68,21.68,1170.3,53.9776,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Main and industrial pipelines,ASSEMBLY AND WELDING OF PIPELINES ON THE TRACK UNDER NORMAL CONDITIONS
DXME-MEKA-KAPU_KAMEME,Machines for cleaning and priming pipes with a diameter of 150-300 mm,equipment,Other,Machine hours,23.63,23.63,23.63,303.05,12.8257,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,External engineering networks;Main and industrial pipelines,CORROSION PROTECTION AND PIPELINE LAYING;RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS
KAVO-TO-KATO-KAPU_KAKASAME,"Black wire, diameter NE.KA-NE.TO mm",material,Other,t,2122.74,2122.74,2122.74,9.61,0.018,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Main and industrial pipelines;Wooden structures of hydraulic engineering structures;Work during the reconstruction of buildings and structures,OVERHEAD POWER LINES WITH A VOLTAGE OF 35-1150 KV;RYAZHI
RITO-TO-KATO-KARI_KAMESADX,"Seamless hot-rolled steel pipes with chamfered edges, made of steel grades 10, 20, 35, outer diameter 219 mm, wall thickness 8 mm",material,Steel & Metal,m,129.21,129.21,129.21,454.13,3.5152,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Main and industrial pipelines;Tunnels and subways,CLEANING OF THE CAVITY AND TESTING OF PIPELINES;INSTALLATION OF SHUT-OFF VALVE ASSEMBLIES
DXME-KADX-KASA_SAMELI,"Two-section broad gauge mainline diesel locomotives, power 5300 kW (7200 hp)",equipment,Other,Machine hours,1384.99,1384.99,1384.99,14037.91,10.1357,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Railways,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM
RISA-ME-KARI-KAME,Reinforced concrete sleepers for leveling joints,material,Concrete & Cement,pcs,202.17,202.17,202.17,486078.43,2404.2857,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Railways;Tram tracks;Tunnels and subways,LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS;TRACK DEVICE
KAME-LI-MESA-KASA_KAKAMEME,"Hexagonal steel nuts, thread diameter M6",material,Steel & Metal,t,59279.83,3264.22,120897.01,327.23,0.0066,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Communication equipment;Tunnels and subways;Оборудование связи,"ELECTRIC ALARM, FIRE, CALL AND REMOTE SIGNALING;OPEN METHOD OF WORK"
KAVO-RI-KARI-KASA_KAKAPUTO,"Double-twisted rope LK-R, construction 6x19(1+6+6/6)+1 o.s., grade B, made of uncoated wire, marking group 1570-1770 N/mm2, diameter 15 mm",material,Other,10 m,36.32,36.32,36.32,194.63,5.9226,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Concrete and reinforced concrete structures of hydraulic engineering structures;Underwater construction (diving) works;Wooden structures of hydraulic engineering structures,RYAZHI;UNDERWATER CONSTRUCTION (DIVING) WORK IN MARINE CONDITIONS IN ENCLOSED WATERS
RISA-ME-KAPU-KAPU_KAKAMETO,"Track bolts for fastening rails, diameter M27, length 160 mm, 180 mm",material,Fasteners,t,3891.99,3891.99,3891.99,479.58,0.1295,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Tram tracks,INSTALLATION OF COUNTERRAILS AND TRACK RODS;LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS
RIRI-RI-KAME-KAPU_KAKAMELI,TF-20 linear pin insulators,material,Other,100 pcs,1381.24,224.66,8320.72,448.79,0.2476,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Communication equipment;Communication, radio broadcasting, and television facilities;Оборудование связи",SERVICE COMMUNICATIONS ON RAILWAY TRANSPORT;СВЯЗЬ СЛУЖЕБНАЯ НА ЖЕЛЕЗНОДОРОЖНОМ ТРАНСПОРТЕ
MEME-ME-KARI-KALI_KAKAKAME,"Coniferous timber (pine, spruce), length over ME.NE m",material,Wood & Timber,m3,361.33,361.33,361.33,285.8,0.791,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS
KATO-RI-KARI-KADX_KAKAMEME,Sulphate-resistant Portland cement CEM I 32.5N SS,material,Concrete & Cement,t,179.38,179.38,179.38,56.27,0.3138,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Electrical installations;Painting work;Tunneling works,DISTRIBUTION DEVICES AND SUBSTATIONS;MINING WORKS PERFORMED BY CONVENTIONAL METHODS
DXME-KASA-METO_KARITO,"Adjustable crane manipulators, load capacity 2 t",equipment,Cranes,Machine hours,3.16,3.16,3.16,2.11,0.669,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Concrete and reinforced concrete structures of hydraulic engineering structures;External engineering networks,"HYDROPOWER FACILITY STRUCTURES WITH A TOTAL CONCRETE VOLUME OF OVER 100,000 M3;RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS"
DXME-RIKA-KARI_KAKARI,"Non-self-propelled barges, load capacity 200 t",equipment,Other,Machine hours,10.28,10.28,10.28,100.59,9.7895,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Underwater construction (diving) works;Wooden structures of hydraulic engineering structures,DEFLECTORS FOR RIVER MOORING FACILITIES;WOODEN ELEMENTS OF HYDRAULIC STRUCTURES
KAME-LI-KALI-RIRI_KAKAMENE,"Coal, grade CC",material,Other,t,218.67,218.67,218.67,5.0,0.0243,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Underwater construction (diving) works,"UNDERWATER CONSTRUCTION (DIVING) WORK IN MARINE CONDITIONS IN ENCLOSED WATERS;UNDERWATER CONSTRUCTION (DIVING) WORK IN RIVER CONDITIONS (RIVERS, LAKES, RESERVOIRS)"
RITO-TO-KANE-KAPU_KAKAMETO,"Non-galvanized welded steel pipes for water and gas pipelines with threaded ends, light, nominal diameter 80 mm, wall thickness TO.SA mm",material,Steel & Metal,m,11.23,11.23,11.23,6.74,0.6,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Underwater construction (diving) works,"UNDERWATER CONSTRUCTION (DIVING) WORK IN MARINE CONDITIONS IN ENCLOSED WATERS;UNDERWATER CONSTRUCTION (DIVING) WORK IN RIVER CONDITIONS (RIVERS, LAKES, RESERVOIRS)"
KALI-RI-KAPU-KAPU_KAKAKAME,Anchors made of heat-resistant steel grade 20Kh23N18,material,Steel & Metal,t,58152.73,58152.73,58152.73,243.69,0.01,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK,Industrial furnaces and pipes,LINING OF HEATING UNITS
KAPU-TO-KARI-MEME_KAKAMELI,"Dry cement mixtures (sand concrete), class B25 (M350)",material,Concrete & Cement,t,207.59,207.59,207.59,31.93,0.1543,EUR,21,1,21,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,"External engineering networks;Landscaping, protective forest plantations;Partitions",LANDSCAPING;PARTITIONS
KAME-LI-MEDX-MELI_KAKATORI,"Round rubber cord, diameter from RI.SA to TO.SA mm",material,Rubber & Gaskets,kg,101.3,10.57,391.62,8.56,0.0858,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Nuclear power plant equipment;Thermal power equipment;Оборудование атомных электрических станций,STEAM TURBINE UNITS;АГРЕГАТЫ ПАРОТУРБИННЫЕ
KAME-LI-KARI-KASA_KAKAMEME,"Electrical sheet laminate, grade 1, thickness KA.RI-KA.TOSA mm",material,Electrical,kg,62.76,10.21,378.04,33.6,0.2033,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Communication equipment;Thermal power equipment;Оборудование связи,LOCAL TELEPHONE COMMUNICATIONS;МЕСТНАЯ ТЕЛЕФОННАЯ СВЯЗЬ
KAME-TO-KAME-KALI_KAKAKATO,Isopropyl alcohol,material,Wood & Timber,l,4.02,4.02,4.02,18.66,4.6352,EUR,21,1,21,ENG_TORONTO,EQUIPMENT INSTALLATION,Electrical installations,DISTRIBUTION DEVICES AND SUBSTATIONS
MEPU-RI-KANE-KASA_KAKAKAME,Siloxane rubber-based compound,material,Rubber & Gaskets,kg,31.87,31.87,31.87,11.12,0.349,EUR,21,1,21,ENG_TORONTO,EQUIPMENT INSTALLATION,Electrical installations,DISTRIBUTION DEVICES AND SUBSTATIONS
MEKA-ME-KARI-KAPU_KAKAKAME,"Round bars made of aluminum alloys AD0, AD1, AD, AD31, AD33, AD35, AB, diameter SA.KA mm",material,Other,t,186297.04,11328.87,419587.94,204.0,0.0011,EUR,21,2,21,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Electrical installations;Электротехнические установки,ELECTRIC POWER AND ELECTRIC LIGHTING INSTALLATIONS;ЭЛЕКТРОСИЛОВЫЕ И ЭЛЕКТРООСВЕТИТЕЛЬНЫЕ УСТАНОВКИ
KAME-LI-KALI-RIDX_KAMEDXPU,"Weather-resistant organosilicate composition for protecting metal structures, facing building materials, facades of buildings and structures, colored",material,Steel & Metal,kg,6.42,6.42,6.42,0.39,0.06,EUR,21,1,21,ENG_TORONTO,EQUIPMENT INSTALLATION,Electrical installations,CABLE LINES AND ELECTRICAL EQUIPMENT FOR SPECIAL INSTALLATIONS
DXME-MEDX-KARI_KAKATO,"Gear oil pumps, capacity TO.NE m3/h",equipment,Pumps,Machine hours,5.72,0.36,13.22,323.88,56.6114,EUR,21,3,14,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for hydroelectric power stations and hydraulic structures;Оборудование гидроэлектрических станций и гидротехнических сооружений,HYDROELECTRIC EQUIPMENT;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
DXME-RIME-MELI_KAKARI,Pneumatic breakers for trenchless replacement of pipes with a diameter of 200 to 355 mm when operating from mobile compressor units,equipment,Compressors,Machine hours,3.45,3.45,3.45,428.55,124.1081,EUR,21,1,21,ENG_TORONTO,REPAIR AND CONSTRUCTION WORKS,External engineering networks,RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS;RECONSTRUCTION AND REPAIR OF OUTDOOR WATER SUPPLY NETWORKS USING NON-DIGGING METHODS
DXME-RIME-RIRI_TOVOME,Pneumatic scrapers powered by mobile compressor units,equipment,Compressors,Machine hours,0.4,0.4,0.4,0.58,1.4405,EUR,21,1,21,ENG_TORONTO,REPAIR AND CONSTRUCTION WORKS,External engineering networks,RECONSTRUCTION AND REPAIR OF OUTDOOR SEWAGE NETWORKS USING NON-DIGGING METHODS
DXME-RIKA-KASA_KAKAPU,"Motorized conveyors, power 66 kW (90 hp)",equipment,Other,Machine hours,32.67,32.67,32.67,184.33,5.642,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Earthworks;Shipways for slipways and slipways;Shore reinforcement works,"FASTENING OF SLOPES OF RIVER HYDRAULIC STRUCTURES AND CANALS;UNDERWATER CONSTRUCTION (DIVING) WORK IN RIVER CONDITIONS (RIVERS, LAKES, RESERVOIRS)"
METO-RI-KATO-KAME,Stone,material,Other,m3,98.35,96.92,111.25,7108.17,71.86,EUR,20,2,20,ENG_TORONTO,CONSTRUCTION WORK,Earthworks;Floors;Motorways,"FLOORS;OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"
RITO-SA-KARI-KATO,Welded tubular sheet pile made of electric welded pipes,material,Welding Consumables,t,3453.86,1414.39,4813.51,3482.75,1.006,EUR,20,2,20,ENG_TORONTO,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING
KAME-PU-KATO-KAME_KAKAMEME,"Bentonite powder (clay powder) for preparing drilling fluids, fluid yield MERI.KA-MESA.KA m3/t",material,Aggregates & Earth,t,386.78,386.78,386.78,893.99,2.3125,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization;Tunnels and subways",CLOSED METHOD OF OPERATION;SOIL STABILIZATION
KAME-LI-MEME-KAPU_KAKAKARI,"PP-Np-19ST powder surfacing wire, diameter 3 mm",material,Other,t,2336.43,2336.43,2336.43,14.57,0.01,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,Electrical installations;Precast concrete and reinforced concrete structures,"DISTRIBUTION DEVICES AND SUBSTATIONS;RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES"
KAME-LI-MEDX-KAPU_KAKAKAME,AF-1 sponge rubber plates,material,Rubber & Gaskets,kg,12.72,12.72,12.72,910.48,71.5815,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,"Communication, radio broadcasting, and television facilities;Precast concrete and reinforced concrete structures","COMMUNICATIONS, RADIO BROADCASTING AND TELEVISION FACILITIES;CONSTRUCTIONS USING CEMENT-CHIPBOARD PANELS"
KAME-TO-KASA-TOVO_KAKAPUME,Tungsten,material,Other,kg,3387.48,196.76,7287.26,1.82,0.0131,EUR,20,2,20,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Metal building structures;Process pipelines;Технологические трубопроводы,STRUCTURES;ТРУБОПРОВОДЫ ТЕХНОЛОГИЧЕСКИЕ ЦЕХОВЫЕ
DXME-MELI-KARI_KATOTO,Ultrasonic pulse flaw detectors with a thickness of the product being tested up to 5000 mm,equipment,Testing Equipment,Machine hours,1.36,1.36,1.36,2.28,1.6755,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Metal building structures;Railways,MISCELLANEOUS WORKS;SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM
KAME-LI-MESA-KALI_KAKAKAVO,"Plastic dowels with screws, diameter 8 mm, length 40 mm, screw diameter 5 mm, screw length 40 mm",material,Fasteners,100 pcs,52.42,11.39,421.7,63.64,5.8053,EUR,20,2,20,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Finishing works;Other repair and construction work;Электротехнические установки,MISCELLANEOUS WORKS;OPEN METHOD OF WORK
KAVO-ME-KARI-RISA_KAKARIME,"Improved cast steel shot, fraction KA.TO-TO.RI mm",material,Steel & Metal,t,27271.54,2308.97,85517.54,6772.69,0.2556,EUR,20,2,20,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Electrical installations;Protection of building structures and equipment from corrosion;Электротехнические установки,MISCELLANEOUS WORKS;NUCLEAR POWER PLANT CONSTRUCTIONS
MEPU-RI-KANE-KAME,Antiseptic-fire retardant,material,Other,kg,2111.28,6.95,2812.72,136.29,12.9954,EUR,20,2,20,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Main and industrial pipelines;Painting work;Wooden structures,MISCELLANEOUS WORKS;OTHER REPAIR AND CONSTRUCTION WORKS
KAME-LI-MESA-MEPU_KAKARITO,"Self-tapping steel screws, oxidized, with countersunk head and cross-shaped slot, double thread, pointed, diameter TO.DX mm, length 45 mm",material,Steel & Metal,100 pcs,1.6,1.6,1.6,43.8,27.316,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Wooden structures,"PARTITIONS, WALL CLADDING, SUSPENDED CEILINGS MADE OF GYPSUM FIBERBOARD (GFB) OR GYPSUM PARTICLE BOARD (GSP)"
KANE-ME-KAME-KANE,Acid-resistant straight brick,material,Chemicals & Gases,t,666.24,666.24,666.24,295.15,0.4435,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Protection of building structures and equipment from corrosion,LAYING OF ACID-RESISTANT BRICKS AND SHAPED ACID-RESISTANT CERAMIC PRODUCTS;LINING WORK
MEPU-PU-KAPU-KAPU_KAKAMEKA,"Organosilicon enamel KO-811, KO-811K, colored",material,Paint & Coatings,t,9082.4,9082.4,9082.4,55.08,0.0143,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,Electrical installations;Heat supply and gas pipelines - outdoor networks;Protection of building structures and equipment from corrosion,COATING WITH PAINT AND VARNISH MATERIALS;DISTRIBUTION DEVICES AND SUBSTATIONS
METO-RI-KAME-KARI,Architectural and construction products made of porous rock,material,Aggregates & Earth,m2,166.16,166.16,166.16,17006.92,102.35,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Finishing works,FACING WORKS
KAVO-ME-KARI-KATO,Window slope box mounting plate,material,Glass & Glazing,pcs,6.89,1.18,7.69,349.6,123.3065,EUR,20,3,18,ENG_TORONTO,CONSTRUCTION WORK,Finishing works;Temporary prefabricated buildings and structures,FACING WORKS;TEMPORARY INVENTORY BUILDINGS MADE OF PREFABRICATED STRUCTURES
KAME-LI-MESA-KALI_KAKAKATO,"Galvanized steel dowel nails with washers for a mounting gun, diameter PU.SA mm, length 30-50 mm",material,Steel & Metal,10 pcs,0.38,0.38,0.38,1.97,5.183,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Finishing works;Temporary prefabricated buildings and structures;Thermal insulation works,INSTALLATION OF INTERNAL ENGINEERING NETWORKS IN TEMPORARY BUILDINGS AND STRUCTURES;THERMAL INSULATION WORK
DXME-RIME-KAME_SAKAVO,"Plastering units, capacity ME.KA-RI.SA m3/h",equipment,Other,Machine hours,1.09,1.09,1.09,4.81,4.413,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Finishing works;Thermal insulation works,FIRE PROTECTION;PLASTERING
DXME-RIME-KAME_SAKAVO,Electricity: consumption ME.RILI kWh/machine-hour,electricity,Electricity,Machine hours,0.17,0.17,0.17,0.75,4.413,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Finishing works;Thermal insulation works,FIRE PROTECTION;PLASTERING
MEPU-ME-KAPU-KAME_KAKAKAME,Foamed synthetic rubber-based adhesive for bonding insulation materials,material,Insulation,l,32.21,32.21,32.21,20.85,0.6475,EUR,20,1,20,ENG_TORONTO,CONSTRUCTION WORK,Thermal insulation works,THERMAL INSULATION WORK
KARI-RI-KASA-KAVO,"Hot black crushed stone, fraction 10 (15)-20 (25) mm",material,Aggregates & Earth,t,145.91,145.91,145.91,6255.24,42.8715,EUR,20,1,10,ENG_TORONTO,CONSTRUCTION WORK,Motorways,CONSTRUCTION OF FOUNDATIONS AND COVERINGS;REINFORCEMENT STRIPS AT THE EDGES OF ROAD SURFACES AND REINFORCEMENT OF ROADSIDES
KARI-RI-KASA-KAPU_RIKADXRI,"Crushed stone from dense rock for construction work M 1000, fraction 20-40 mm",material,Aggregates & Earth,m3,298.68,64.88,2402.88,2210.56,14.4325,EUR,20,2,20,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,General-purpose equipment;Tunnels and subways;Оборудование общего назначения,CONSTRUCTION OF FOUNDATIONS AND COVERINGS;RIGGING WORK
